Address,Zip,Zillow ID,Tax,Tax_Year,Home Type,Home Size,Bathrooms,Bedrooms,Last Sold Date,Last Sold Price,Zestimate Amount,Zestimate Date,Zestimate Value Change
1235 S Prairie Ave 1408 ,60605,87727121,219780.0,2017,Apartment,45302,1.0,1,08/14/2006,274500,,01/01/1970,
1235 S Prairie Ave 1409 ,60605,87690177,32610.0,2017,SingleFamily,45302,2.0,0,02/04/2016,37000,158426,04/03/2019,-107134
1235 S Prairie Ave 1501 ,60605,87719013,513820.0,2017,Condominium,45302,2.0,2,07/13/2015,675000,669506,04/03/2019,25560
1235 S Prairie Ave 1502 ,60605,87692406,27960.0,2017,Condominium,45302,2.0,2,06/21/2013,516000,33991,04/03/2019,-441
1235 S Prairie Ave 1504 ,60605,87707345,468040.0,2017,Condominium,45302,,,04/05/2013,522000,638062,04/03/2019,14471
1235 S Prairie Ave 1505 ,60605,87725264,428890.0,2017,Condominium,45302,,,,,755488,04/03/2019,112231
1235 S Prairie Ave 1506 ,60605,87690665,211370.0,2017,Condominium,45302,1.0,1,09/05/2007,347000,321844,04/03/2019,6082
1235 S Prairie Ave 1507 ,60605,87713233,32610.0,2017,Condominium,45302,,,07/21/2006,283000,34827,04/03/2019,141
1235 S Prairie Ave 1508 ,60605,87704043,205720.0,2017,Apartment,45302,1.0,1,01/06/2016,283000,,01/01/1970,
1235 S Prairie Ave 1509 ,60605,87692763,32610.0,2017,Condominium,45302,2.0,2,07/11/2018,592000,34827,04/03/2019,141
1235 S Prairie Ave 1601 ,60605,87703145,517450.0,2017,Condominium,45302,2.0,2,07/23/2015,685000,669942,04/03/2019,24266
1235 S Prairie Ave 1602 ,60605,87701799,420480.0,2017,Condominium,45302,2.0,2,02/23/2016,595000,656784,04/03/2019,78522
1235 S Prairie Ave 1603 ,60605,87718453,32610.0,2017,Condominium,45302,,,09/05/2012,463500,34827,04/03/2019,141
1235 S Prairie Ave 1604 ,60605,87723323,42020.0,2017,Condominium,45302,,,06/20/2006,520500,34980,04/03/2019,222
1235 S Prairie Ave 1605 ,60605,87698196,430650.0,2017,Condominium,45302,2.0,2,08/11/2016,520000,589198,04/03/2019,3100
1235 S Prairie Ave 1606 ,60605,87705762,212370.0,2017,Condominium,45302,,,06/22/2006,272500,278971,04/03/2019,9008
1235 S Prairie Ave 1607 ,60605,87717045,216010.0,2017,Condominium,45302,,,07/28/2006,277500,283129,04/03/2019,8485
1235 S Prairie Ave 1608 ,60605,87716095,206720.0,2017,Condominium,45302,,,06/22/2006,257500,272432,04/03/2019,10421
1235 S Prairie Ave 1609 ,60605,87696542,453980.0,2017,MultiFamily2To4,45302,2.0,2,06/29/2006,504500,621698,04/03/2019,13826
1235 S Prairie Ave 1701 ,60605,87710958,522220.0,2017,Condominium,45302,,,09/26/2006,708000,845483,04/03/2019,150990
1235 S Prairie Ave 1702 ,60605,87694309,423250.0,2017,Condominium,45302,2.0,2,04/25/2007,600000,584963,04/03/2019,4597
1235 S Prairie Ave 1703 ,60605,87723391,428890.0,2017,Condominium,45302,,,07/12/2012,375000,755488,04/03/2019,112231
1235 S Prairie Ave 1704 ,60605,87693536,476430.0,2017,Condominium,45302,2.0,2,08/08/2017,601500,634599,04/03/2019,27837
1235 S Prairie Ave 1705 ,60605,87700710,32610.0,2017,Condominium,45302,2.0,2,04/22/2015,575000,34827,04/03/2019,141
1235 S Prairie Ave 1706 ,60605,87704219,213240.0,2017,Condominium,45302,,,06/29/2006,279500,280134,04/03/2019,8860
1235 S Prairie Ave 1707 ,60605,87712361,217010.0,2017,MultiFamily5Plus,45302,1.0,1,08/02/2006,278500,,01/01/1970,
1235 S Prairie Ave 1708 ,60605,87715358,32610.0,2017,Condominium,45302,1.0,1,12/19/2014,317000,34827,04/03/2019,141
1235 S Prairie Ave 1801 ,60605,87695007,524990.0,2017,Condominium,45302,,,06/30/2006,589000,847270,04/03/2019,154007
1235 S Prairie Ave 1802 ,60605,87714846,426000.0,2017,MultiFamily2To4,45302,2.0,2,04/11/2016,3000,588626,04/03/2019,4824
1235 S Prairie Ave 1803 ,60605,87700913,32610.0,2017,Condominium,45302,2.0,2,04/27/2016,645000,34827,04/03/2019,141
1235 S Prairie Ave 1804 ,60605,87724250,479200.0,2017,Condominium,45302,2.0,2,02/19/2019,610000,846864,04/03/2019,177972
1235 S Prairie Ave 1805 ,60605,87718037,32610.0,2017,Condominium,45302,2.0,2,07/14/2006,471000,34827,04/03/2019,141
1235 S Prairie Ave 1806 ,60605,87717199,214130.0,2017,Condominium,45302,,,07/28/2006,248500,280487,04/03/2019,9501
1235 S Prairie Ave 1807 ,60605,85807269,217890.0,2017,Condominium,45302,,,08/18/2006,285000,283480,04/03/2019,6521
1235 S Prairie Ave 1808 ,60605,87723031,32610.0,2017,Condominium,45302,1.0,1,08/29/2006,335000,34827,04/03/2019,141
1235 S Prairie Ave 1809 ,60605,87713916,457750.0,2017,Condominium,45302,2.0,2,04/01/2017,3000,625765,04/03/2019,18636
1235 S Prairie Ave 1901 ,60605,87722594,528750.0,2017,Condominium,45302,2.0,2,09/03/2010,534500,847677,04/03/2019,150169
1235 S Prairie Ave 1902 ,60605,87700488,428890.0,2017,MultiFamily2To4,45302,2.0,2,05/03/2013,512500,601531,04/03/2019,7932
1235 S Prairie Ave 1903 ,60605,87714821,32610.0,2017,Condominium,45302,,,09/26/2006,526500,34827,04/03/2019,141
1235 S Prairie Ave 1904 ,60605,87711145,32610.0,2017,Condominium,45302,,,07/17/2006,625500,34827,04/03/2019,141
1235 S Prairie Ave 1905 ,60605,87721867,32610.0,2017,Condominium,45302,2.0,2,08/18/2016,540000,34827,04/03/2019,141
1235 S Prairie Ave 1906 ,60605,87713589,216010.0,2017,Condominium,45302,,,06/23/2006,252000,283129,04/03/2019,8485
1235 S Prairie Ave 1908 ,60605,87702562,210490.0,2017,Apartment,45302,1.0,1,07/12/2006,260500,,01/01/1970,
1235 S Prairie Ave 1909 ,60605,87723813,459630.0,2017,Condominium,45302,,,10/25/2011,412000,812714,04/03/2019,162503
1235 S Prairie Ave 2001 ,60605,87697185,532380.0,2017,Condominium,45302,2.0,2,08/10/2016,705000,676143,04/03/2019,17442
1235 S Prairie Ave 2002 ,60605,87697329,433540.0,2017,Condominium,45302,2.0,2,07/24/2006,625000,602703,04/03/2019,12396
1235 S Prairie Ave 2003 ,60605,87707225,32610.0,2017,Condominium,45302,,,06/26/2006,523000,34827,04/03/2019,141
1235 S Prairie Ave 2004 ,60605,2085913480,32610.0,2017,Condominium,45302,2.0,2,03/27/2019,660000,637722,04/03/2019,-10158
1235 S Prairie Ave 2005 ,60605,87703817,32610.0,2017,Condominium,45302,,,06/23/2006,524500,34827,04/03/2019,141
1235 S Prairie Ave 2006 ,60605,87727831,32610.0,2017,Condominium,45302,1.0,1,06/22/2015,317000,34827,04/03/2019,141
1235 S Prairie Ave 2007 ,60605,87701014,221650.0,2017,MultiFamily2To4,45302,2.0,2,04/25/2013,295000,430686,04/03/2019,-652
1235 S Prairie Ave 2008 ,60605,87695782,212370.0,2017,Condominium,45302,1.0,1,08/22/2006,310000,321722,04/03/2019,6062
1235 S Prairie Ave 2009 ,60605,87704568,461510.0,2017,Condominium,45302,2.0,2,07/25/2018,673000,650898,04/03/2019,11454
1235 S Prairie Ave 2101 ,60605,87725233,536150.0,2017,Condominium,45302,2.0,2,09/12/2018,725000,675246,04/03/2019,9465
1235 S Prairie Ave 2102 ,60605,87690336,436290.0,2017,Condominium,45302,,,06/29/2006,502500,752651,04/03/2019,113475
1235 S Prairie Ave 2103 ,60605,87714344,441930.0,2017,Condominium,45302,,,07/14/2006,602500,758703,04/03/2019,118750
1235 S Prairie Ave 2104 ,60605,87696235,32610.0,2017,Condominium,45302,,,08/03/2006,609500,34827,04/03/2019,141
1235 S Prairie Ave 2105 ,60605,87719038,440060.0,2017,Condominium,45302,2.0,2,06/27/2011,433000,572336,04/03/2019,-4836
1235 S Prairie Ave 2106 ,60605,87689652,27960.0,2017,Condominium,45302,1.0,1,12/30/2010,180500,33991,04/03/2019,-441
1235 S Prairie Ave 2107 ,60605,87718288,32610.0,2017,Condominium,45302,,,08/08/2006,309000,34827,04/03/2019,141
1235 S Prairie Ave 2108 ,60605,87712110,214130.0,2017,MultiFamily5Plus,45302,1.0,1,07/10/2006,250500,,01/01/1970,
1235 S Prairie Ave 2109 ,60605,87708583,463390.0,2017,Condominium,45302,,,08/18/2006,501500,819222,04/03/2019,169259
1235 S Prairie Ave 2201 ,60605,87694595,539920.0,2017,Condominium,45302,,,05/03/2012,550000,853243,04/03/2019,146704
1235 S Prairie Ave 2202 ,60605,87714122,439050.0,2017,Condominium,45302,2.0,2,10/23/2010,1050,666958,04/03/2019,36463
1235 S Prairie Ave 2203 ,60605,87699692,32610.0,2017,Condominium,45302,2.0,2,08/28/2015,34000,34827,04/03/2019,141
1235 S Prairie Ave 2204 ,60605,87725430,494130.0,2017,Condominium,45302,,,07/31/2006,625500,842756,04/03/2019,152064
1235 S Prairie Ave 2205 ,60605,87689479,443820.0,2017,Condominium,45302,,,07/10/2006,508000,763920,04/03/2019,123207
1235 S Prairie Ave 2206 ,60605,87710363,221650.0,2017,Condominium,45302,1.0,1,07/17/2006,308000,289510,04/03/2019,10211
1235 S Prairie Ave 2207 ,60605,87697955,32610.0,2017,Condominium,45302,,,08/18/2006,302000,34827,04/03/2019,141
1235 S Prairie Ave 2208 ,60605,87714555,216010.0,2017,Condominium,45302,,,07/10/2006,268500,283129,04/03/2019,8485
1235 S Prairie Ave 2209 ,60605,87701981,467150.0,2017,Condominium,45302,,,04/16/2007,545000,832356,04/03/2019,180980
1235 S Prairie Ave 2301 ,60605,87727615,543680.0,2017,Condominium,45302,1.0,1,05/10/2007,40000,450106,04/03/2019,372
1235 S Prairie Ave 2302 ,60605,87708706,441930.0,2017,Condominium,45302,,,07/31/2006,481000,758703,04/03/2019,118750
1235 S Prairie Ave 2303 ,60605,87690508,447460.0,2017,Condominium,45302,,,02/21/2007,640000,722005,04/03/2019,85128
1235 S Prairie Ave 2304 ,60605,87720827,497880.0,2017,Condominium,45302,2.0,2,05/10/2012,518000,663774,04/03/2019,42960
1235 S Prairie Ave 2305 ,60605,87707266,447460.0,2017,Condominium,45302,2.0,2,08/19/2016,500000,654581,04/03/2019,27519
1235 S Prairie Ave 2306 ,60605,87722966,32610.0,2017,Condominium,45302,1.0,1,05/01/2017,2050,34827,04/03/2019,141
1235 S Prairie Ave 2307 ,60605,87698052,227300.0,2017,Condominium,45302,1.0,1,10/09/2014,1975,322838,04/03/2019,6363
1235 S Prairie Ave 2308 ,60605,87696312,217890.0,2017,Condominium,45302,1.0,1,04/05/2012,215900,326777,04/03/2019,10988
1235 S Prairie Ave 2309 ,60605,87699609,468910.0,2017,Condominium,45302,2.0,2,09/14/2007,610000,834832,04/03/2019,182891
1235 S Prairie Ave 2401 ,60605,87714445,547310.0,2017,MultiFamily2To4,45302,2.0,2,02/29/2008,715000,688550,04/03/2019,24899
